video_id,total_examples,valid_answers,invalid_answers,empty_answers,correct_answers,overall_accuracy,valid_only_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video88,192,192,0,0,145,0.7552083333333334,0.7552083333333334,0.8111111111111111,0.7087378640776699,0.756476683937824,0.7058823529411765,0.8089887640449438,0.7539267015706808,73,30,17,72
Video89,192,192,0,0,156,0.8125,0.8125,0.8555555555555555,0.77,0.8105263157894737,0.7745098039215687,0.8586956521739131,0.8144329896907218,77,23,13,79
Video90,192,192,0,0,153,0.796875,0.796875,0.875,0.7333333333333333,0.7979274611398963,0.7307692307692307,0.8735632183908046,0.7958115183246074,77,28,11,76
Video91,192,192,0,0,164,0.8541666666666666,0.8541666666666666,0.8679245283018868,0.8679245283018868,0.8679245283018869,0.8372093023255814,0.8372093023255814,0.8372093023255814,92,14,14,72
Video92,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.9080459770114943,0.7669902912621359,0.8315789473684211,0.7714285714285715,0.9101123595505618,0.8350515463917525,79,24,8,81
Video93,192,192,0,0,156,0.8125,0.8125,0.8541666666666666,0.7884615384615384,0.8200000000000001,0.7708333333333334,0.8409090909090909,0.8043478260869567,82,22,14,74
Video94,192,192,0,0,159,0.828125,0.828125,0.8705882352941177,0.7708333333333334,0.8176795580110497,0.794392523364486,0.8854166666666666,0.8374384236453202,74,22,11,85
Video95,192,192,0,0,163,0.8489583333333334,0.8489583333333334,0.891566265060241,0.7872340425531915,0.8361581920903955,0.8165137614678899,0.9081632653061225,0.8599033816425121,74,20,9,89
Video96,192,192,0,0,150,0.78125,0.78125,0.825,0.7021276595744681,0.7586206896551724,0.75,0.8571428571428571,0.7999999999999999,66,28,14,84
Video97,192,192,0,0,159,0.828125,0.828125,0.8352941176470589,0.7888888888888889,0.8114285714285714,0.822429906542056,0.8627450980392157,0.8421052631578947,71,19,14,88
Video98,192,192,0,0,159,0.828125,0.828125,0.9473684210526315,0.7128712871287128,0.8135593220338982,0.75,0.9560439560439561,0.8405797101449275,72,29,4,87
Video99,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.881578947368421,0.7444444444444445,0.8072289156626506,0.8017241379310345,0.9117647058823529,0.8532110091743118,67,23,9,93
Video100,192,192,0,0,147,0.765625,0.765625,0.7912087912087912,0.7346938775510204,0.7619047619047619,0.7425742574257426,0.7978723404255319,0.7692307692307692,72,26,19,75
