video_id,n_samples,valid_free_predictions,invalid_free_predictions,empty_raw_outputs,free_output_accuracy,free_output_valid_accuracy,score_based_accuracy,free_label_0_precision,free_label_0_recall,free_label_0_f1,free_label_1_precision,free_label_1_recall,free_label_1_f1,score_label_0_precision,score_label_0_recall,score_label_0_f1,score_label_1_precision,score_label_1_recall,score_label_1_f1,avg_choice_0_score,avg_choice_1_score,avg_confidence,avg_score_gap,free_vs_score_agreement_rate,free_actual_0_pred_0,free_actual_0_pred_1,free_actual_1_pred_0,free_actual_1_pred_1,score_actual_0_pred_0,score_actual_0_pred_1,score_actual_1_pred_0,score_actual_1_pred_1
Video11,192,192,0,0,0.71875,0.71875,0.578125,0.75,0.65625,0.7,0.6944444444444444,0.78125,0.7352941176470588,0.631578947368421,0.375,0.47058823529411764,0.5555555555555556,0.78125,0.6493506493506493,0.3491770337358844,0.6508229734366372,0.774543265812099,0.5490865244516764,0.6510416666666666,63,33,21,75,36,60,21,75
Video12,192,192,0,0,0.671875,0.671875,0.578125,0.6601941747572816,0.7083333333333334,0.6834170854271358,0.6853932584269663,0.6354166666666666,0.6594594594594595,0.6027397260273972,0.4583333333333333,0.5207100591715976,0.5630252100840336,0.6979166666666666,0.6232558139534883,0.41234325605574895,0.5876567519638533,0.7586749537537495,0.5173498994878969,0.6458333333333334,68,28,35,61,44,52,29,67
Video13,192,192,0,0,0.6979166666666666,0.6979166666666666,0.5572916666666666,0.7383177570093458,0.7247706422018348,0.7314814814814815,0.6470588235294118,0.6626506024096386,0.6547619047619048,0.6818181818181818,0.41284403669724773,0.5142857142857142,0.49206349206349204,0.7469879518072289,0.5933014354066986,0.38890505476310483,0.611094949883712,0.767011689953506,0.5340233752601952,0.5989583333333334,79,30,28,55,45,64,21,62
Video14,192,192,0,0,0.6510416666666666,0.6510416666666666,0.5260416666666666,0.6173913043478261,0.7553191489361702,0.6794258373205742,0.7012987012987013,0.5510204081632653,0.6171428571428571,0.5217391304347826,0.3829787234042553,0.44171779141104295,0.5284552845528455,0.6632653061224489,0.588235294117647,0.4056411809025728,0.5943588284211122,0.7556479321792722,0.5112958550348594,0.6145833333333334,71,23,44,54,36,58,33,65
Video15,192,192,0,0,0.734375,0.734375,0.5989583333333334,0.6893203883495146,0.7888888888888889,0.7357512953367875,0.7865168539325843,0.6862745098039216,0.7329842931937174,0.5970149253731343,0.4444444444444444,0.5095541401273885,0.6,0.7352941176470589,0.6607929515418502,0.40100224725578454,0.5989977579568707,0.7710443800315261,0.542088754850397,0.6354166666666666,71,19,32,70,40,50,27,75
Video16,192,192,0,0,0.5625,0.5625,0.53125,0.48623853211009177,0.654320987654321,0.5578947368421053,0.6626506024096386,0.4954954954954955,0.5670103092783505,0.43661971830985913,0.38271604938271603,0.4078947368421052,0.5867768595041323,0.6396396396396397,0.6120689655172413,0.4241358561256637,0.5758641542779515,0.7619809852913022,0.5239619601789892,0.6041666666666666,53,28,56,55,31,50,40,71
Video17,192,192,0,0,0.59375,0.59375,0.5520833333333334,0.6363636363636364,0.6,0.6176470588235293,0.5483870967741935,0.5862068965517241,0.5666666666666665,0.6610169491525424,0.37142857142857144,0.47560975609756095,0.5037593984962406,0.7701149425287356,0.6090909090909091,0.35949606518928096,0.6405039386499235,0.7655986032138268,0.5311972025884492,0.6354166666666666,63,42,36,51,39,66,20,67
Video18,192,192,0,0,0.6510416666666666,0.6510416666666666,0.5625,0.6666666666666666,0.6185567010309279,0.6417112299465241,0.6372549019607843,0.6842105263157895,0.6598984771573604,0.5942028985507246,0.422680412371134,0.49397590361445776,0.5447154471544715,0.7052631578947368,0.6146788990825688,0.40312038222937946,0.5968796213661941,0.770397045960029,0.5407940883244843,0.6510416666666666,60,37,30,65,41,56,28,67
Video19,192,192,0,0,0.7708333333333334,0.7708333333333334,0.6458333333333334,0.696969696969697,0.8313253012048193,0.7582417582417583,0.8494623655913979,0.7247706422018348,0.7821782178217822,0.6,0.5421686746987951,0.569620253164557,0.6752136752136753,0.7247706422018348,0.6991150442477876,0.40830824299827856,0.5916917603681213,0.7896278218055764,0.5792556402447531,0.6770833333333334,69,14,30,79,45,38,30,79
Video20,192,192,0,0,0.6822916666666666,0.6822916666666666,0.578125,0.6637931034482759,0.7777777777777778,0.7162790697674418,0.7105263157894737,0.5806451612903226,0.6390532544378698,0.6551724137931034,0.3838383838383838,0.4840764331210191,0.5447761194029851,0.7849462365591398,0.6431718061674009,0.3523468265420888,0.6476531803443019,0.7730967548365394,0.5461935027866881,0.5833333333333334,77,22,39,54,38,61,20,73
